model,illusion,illusion_strength,n_points_used,PSE,PSE_SE,PSE_CI_low,PSE_CI_high,slope,slope_SE,sigma,sigma_SE,converged,fit_status,fit_R2,AIC,BIC,boundary_hit,monotonicity_warning,flat_curve_warning
gpt-5.2,Ponzo,-25.2,32,0.0024,0.0025,-0.0025,0.0073,9.213448,0.46812,0.0433,0.0022,True,,0.9965,438.888,441.819,False,False,False
gpt-5.2,Ponzo,-21.6,32,0.0299,0.0062,0.0177,0.0421,6.383076,0.796608,0.0625,0.0078,True,,0.975,672.786,675.717,False,False,False
gpt-5.2,Ponzo,-18.0,32,0.0136,0.0061,0.0016,0.0256,7.931258,0.97761,0.0503,0.0062,True,,0.9781,396.963,399.894,False,False,False
gpt-5.2,Ponzo,-14.4,32,0.0116,0.003,0.0057,0.0175,10.990145,0.787173,0.0363,0.0026,True,,0.9963,306.014,308.946,False,False,False
gpt-5.2,Ponzo,-10.8,32,0.0032,0.011,-0.0184,0.0248,4.644264,0.724484,0.0859,0.0134,True,,0.9304,872.387,875.319,False,False,False
gpt-5.2,Ponzo,-7.2,32,0.0435,0.012,0.02,0.067,3.87699,0.636746,0.1029,0.0169,True,,0.9199,1111.066,1113.997,False,False,False
gpt-5.2,Ponzo,-3.6,32,0.0282,0.0079,0.0127,0.0437,4.025654,0.426532,0.0991,0.0105,True,,0.9645,878.243,881.174,False,False,False
gpt-5.2,Ponzo,0.0,32,-0.0397,0.0,-0.0397,-0.0397,199.47114,0.0,0.002,0.0,True,,1.0,141.665,144.597,False,False,False
gpt-5.2,Ponzo,3.6,32,0.05,0.0143,0.022,0.078,3.201784,0.534487,0.1246,0.0208,True,,0.9013,1139.288,1142.22,False,False,False
gpt-5.2,Ponzo,7.2,32,0.1092,0.0083,0.0929,0.1255,9.04631,2.400041,0.0441,0.0117,True,,0.9007,1343.885,1346.816,False,False,False
gpt-5.2,Ponzo,10.8,32,-0.0022,0.0154,-0.0324,0.028,3.386607,0.597975,0.1178,0.0208,True,,0.8861,1095.907,1098.839,False,False,False
gpt-5.2,Ponzo,14.4,32,0.024,0.0201,-0.0154,0.0634,3.126507,0.690968,0.1276,0.0282,True,,0.8269,1143.662,1146.593,False,False,False
gpt-5.2,Ponzo,18.0,32,0.034,0.0078,0.0187,0.0493,5.326332,0.73246,0.0749,0.0103,True,,0.9602,823.467,826.398,False,False,False
gpt-5.2,Ponzo,21.6,32,0.0498,0.0127,0.0249,0.0747,4.239557,0.824483,0.0941,0.0183,True,,0.908,911.971,914.902,False,False,False
gpt-5.2,Ponzo,25.2,32,-0.0382,0.013,-0.0637,-0.0127,2.874224,0.391375,0.1388,0.0189,True,,0.9205,1192.368,1195.299,False,False,False
